table_type,emojis,model_name,model_details,success_rate,coverage_increase,date,data_mode
lite,,AEGIS,,47.8,26.0,2025-02-17,reproduction
lite,,e-Otter++,Claude 3.7 Sonnet,50.7,56.4,2025-08-11,unittest
lite,,Amazon Q Developer Agent,v20250405-dev,37.7,52.7,2025-04-10,unittest
lite,,AssertFlip,GPT-4o,35.1,44.2,2025-07-28,unittest
lite,,OpenHands,"Cl. Sonnet 3.5, CI setup",28.3,52.4,2025-02-18,unittest
lite,,OpenHands,"Cl. Sonnet 3.5, vanilla",22.8,43.6,2025-02-18,unittest
lite,,SWE-Agent+,GPT-4,18.5,27.6,2024-05-22,unittest
lite,,SWE-Agent,Mistral Large 2,16.3,23.0,2024-05-22,unittest
lite,,SWE-Agent,Cl. 3.5 Sonnet,12.3,30.3,2024-05-22,unittest
lite,,SWE-Agent,GPT-4o mini,9.8,20.9,2024-05-22,unittest
lite,,SWE-Agent,Claude 3 Haiku,2.5,3.0,2024-05-22,unittest
lite,,SWE-Agent,Mixtral 8x22B,0.7,0.9,2024-05-22,unittest
lite,,SWE-Agent,GPT-4,15.9,26.5,2024-05-22,unittest
lite,,Aider,GPT-4,12.7,27.8,2024-05-22,unittest
lite,,AutoCodeRover,GPT-4,9.1,17.9,2024-05-22,unittest
lite,,LIBRO,GPT-4,14.1,23.8,2024-05-22,unittest
lite,,Zero-Shot Plus,GPT-4 + BM25,9.4,21.5,2024-05-22,unittest
lite,,Zero-Shot Base,GPT-4 + BM25,3.6,7.6,2024-05-22,unittest
verified,new,OpenHands,GPT-5,75.8,66.3,2025-08-22,unittest
verified,,e-Otter++,Claude 3.7 Sonnet,60.7,62.3,2025-08-11,unittest
verified,new,OpenHands,GPT-5-mini,56.8,60.4,2025-08-22,unittest
verified,,Amazon Q Developer Agent,v20250405-dev,49.0,57.4,2025-04-10,unittest
verified,,AssertFlip,GPT-4o,43.4,47.4,2025-07-28,unittest
verified,,Otter++,GPT-4o,37.0,42.8,2025-03-10,unittest
verified,,Otter,GPT-4o,31.4,37.6,2025-03-10,unittest
verified,,OpenHands,Cl. Sonnet 3.5,27.7,52.9,2025-02-28,unittest
verified,,LIBRO,GPT-4o,17.8,38.0,2025-02-28,unittest
verified,,Zero-Shot Plus,GPT-4o + BM25,14.3,34.0,2025-02-28,unittest
verified,new,LogicStar AI, L*Agent v1, 80.1, 67.9,2025-09-12,unittest
